Account Name,Industry,Company Size,Revenue ($),Rubrik ARR ($),Engagement Score,Event Attendance,Renewal Date,Last Contacted Date,Open Support Tickets,Usage Trend,Primary Contact Title,Region,Strategic Account,Expansion Potential
NovaEdge,SaaS,3629,174359,12405,13,No,2024-12-26,2024-06-20,0,Down,Director of Ops,Central,No,1
VisionSync,Retail,1902,909815,89508,34,No,2025-07-16,2024-07-15,0,Stable,VP Engineering,Central,Yes,1
DataGlobal,SaaS,717,257066,43595,75,Yes,2025-03-01,2024-05-01,0,Stable,CIO,West,Yes,0
HealthLogix,SaaS,290,90916,10714,91,No,2025-04-07,2024-05-01,0,Stable,IT Manager,East,Yes,0
CloudDynamics,Finance,941,186036,11154,37,No,2025-06-16,2024-07-06,5,Down,VP Engineering,West,No,1
CloudEdge,Manufacturing,714,680086,78072,69,Yes,2024-08-28,2024-05-16,0,Stable,VP Engineering,East,No,0
FusionSystems,SaaS,4024,4468529,337739,1,Yes,2024-12-10,2024-05-29,3,Up,CTO,East,No,1
CoreWorks,Manufacturing,3034,589830,93198,89,Yes,2025-03-28,2024-07-08,2,Up,CIO,West,No,0
BrightNetworks,Manufacturing,4019,303852,59520,39,No,2024-09-09,2024-05-05,0,Down,Director of Ops,Central,No,0
HyperGlobal,Finance,2258,3704227,416788,29,Yes,2024-09-22,2024-07-13,3,Up,Director of Ops,West,No,0
UltraPulse,Manufacturing,2476,56428,8213,84,Yes,2024-08-25,2024-06-10,2,Stable,CIO,East,No,0
FlexSync,Finance,1136,4083310,573531,11,Yes,2025-03-12,2024-05-30,5,Up,CTO,International,No,0
CoreSystems,Finance,2447,822408,105566,17,No,2025-05-01,2024-06-10,0,Up,Director of Ops,West,Yes,0
MetaAnalytics,Retail,2461,526806,39382,89,Yes,2025-05-31,2024-07-08,1,Down,IT Manager,West,No,1
FastInnovations,Manufacturing,3309,3360534,614880,85,Yes,2025-03-18,2024-06-11,1,Stable,IT Manager,Central,Yes,0
SecurePartners,SaaS,3240,383261,67229,34,No,2024-11-22,2024-06-22,5,Up,IT Manager,International,No,0
FastSystems,Finance,534,4357840,258433,84,Yes,2025-02-13,2024-05-22,3,Down,CIO,East,Yes,1
NovaSystems,Retail,2365,51796,9277,16,No,2024-08-28,2024-07-01,1,Stable,Director of Ops,East,No,0
BrightTech,Healthcare,2853,507547,81022,13,No,2024-11-15,2024-06-24,1,Up,Director of Ops,International,No,0
NexNetworks,Retail,556,62358,8000,43,No,2025-05-23,2024-07-17,5,Down,CTO,East,Yes,0
FastGroup,SaaS,3776,745893,109344,30,Yes,2025-02-14,2024-07-15,0,Stable,CTO,Central,Yes,0
CloudSync,Healthcare,1839,412671,78929,72,Yes,2025-05-01,2024-06-10,1,Down,CIO,West,Yes,0
HyperDynamics,SaaS,2822,4792545,872390,13,Yes,2025-03-22,2024-07-12,1,Down,CTO,West,No,0
FusionPulse,SaaS,724,4932640,521789,85,No,2024-09-15,2024-06-28,1,Stable,IT Manager,International,No,0
GreenSystems,Retail,1163,845491,96340,68,No,2025-04-14,2024-07-14,2,Down,CIO,International,Yes,0
EcoPulse,Manufacturing,1052,939542,119704,74,No,2024-08-16,2024-07-03,5,Down,VP Engineering,Central,Yes,0
FastPulse,Retail,2307,376895,20250,14,Yes,2025-04-28,2024-05-17,2,Stable,CTO,International,Yes,1
FastNetworks,Retail,4962,601143,41544,34,Yes,2025-04-13,2024-05-19,3,Stable,VP Engineering,Central,No,1
DataEdge,Healthcare,240,60835,10112,9,No,2025-05-30,2024-06-11,5,Down,VP Engineering,West,Yes,0
CoreTech,Retail,1319,384423,34999,81,Yes,2025-03-25,2024-05-02,5,Stable,Director of Ops,Central,Yes,1
ApexGlobal,Finance,4246,1479274,143294,8,Yes,2025-05-06,2024-07-22,4,Stable,IT Manager,West,Yes,1
EcoWorks,Healthcare,418,93731,15517,84,Yes,2025-01-25,2024-07-24,5,Up,VP Engineering,East,No,0
SmartInnovations,Finance,1621,473814,25392,91,No,2025-03-10,2024-05-31,5,Down,CTO,Central,Yes,1
NexSolutions,SaaS,1903,2505042,375319,17,Yes,2024-08-02,2024-07-30,5,Down,CTO,International,No,0
HyperEdge,Finance,4304,435847,52686,8,Yes,2024-10-14,2024-06-18,2,Down,VP Engineering,International,Yes,0
NextCloud,Healthcare,4445,267215,48624,28,No,2025-03-04,2024-06-22,0,Up,IT Manager,East,Yes,0
FlexNetworks,Finance,2296,972325,55172,14,No,2025-04-25,2024-05-22,2,Up,Director of Ops,East,No,1
FlexVentures,Finance,1912,588186,44704,20,Yes,2024-08-06,2024-07-27,2,Down,IT Manager,Central,Yes,1
NexVentures,Finance,3766,77020,10650,89,Yes,2024-12-25,2024-07-21,2,Stable,CIO,West,No,0
DataFlow,Retail,4150,2904804,347504,71,Yes,2024-10-19,2024-06-27,0,Down,CIO,Central,Yes,0
NexMatrix,Manufacturing,923,644819,88771,5,Yes,2024-11-19,2024-06-13,1,Up,CIO,International,Yes,0
QuantumVentures,Manufacturing,4176,86627,12932,53,Yes,2025-06-24,2024-07-27,4,Down,IT Manager,International,Yes,0
SmartVentures,Healthcare,965,75843,7411,74,No,2025-03-24,2024-06-29,2,Down,IT Manager,East,No,1
FusionGroup,Retail,1493,52163,4973,42,Yes,2025-06-08,2024-05-29,5,Up,VP Engineering,East,Yes,1
QuantumSolutions,Healthcare,2783,504420,66947,11,No,2025-03-16,2024-07-04,1,Up,CIO,West,Yes,0
SmartPartners,SaaS,4889,90676,13650,52,No,2024-08-07,2024-05-16,2,Stable,CTO,East,No,0
QuantumWorks,Healthcare,2515,65946,4336,40,Yes,2025-06-28,2024-05-30,5,Stable,VP Engineering,International,No,1
NexGroup,Finance,2293,4652954,287002,3,No,2025-06-16,2024-07-19,1,Up,VP Engineering,International,No,1
FusionVentures,Finance,4189,135732,7055,29,No,2024-12-27,2024-06-20,2,Up,IT Manager,Central,Yes,1
FlexPulse,SaaS,1871,959046,110839,100,No,2025-02-24,2024-05-21,5,Down,IT Manager,International,No,0
MetaFlow,SaaS,4661,867810,151548,86,Yes,2024-11-10,2024-06-25,2,Up,Director of Ops,International,Yes,0
CloudAnalytics,Manufacturing,1551,4993078,967107,56,No,2025-06-02,2024-05-30,2,Stable,CIO,West,Yes,0
ApexDynamics,Finance,1437,884434,156174,60,Yes,2025-01-07,2024-07-18,2,Up,Director of Ops,Central,Yes,0
UltraFlow,Finance,4743,854545,95072,71,No,2024-08-24,2024-06-10,2,Up,VP Engineering,International,Yes,0
HyperSolutions,Healthcare,62,87292,7936,11,No,2024-08-20,2024-06-09,3,Up,CTO,Central,Yes,1
GreenMatrix,Finance,4118,550493,99478,7,No,2025-03-19,2024-05-01,4,Stable,Director of Ops,Central,Yes,0
OmniTech,Manufacturing,2306,232637,42498,7,No,2025-04-06,2024-07-24,1,Up,IT Manager,International,No,0
CloudGroup,Manufacturing,3688,98137,12647,67,Yes,2025-06-04,2024-06-09,5,Down,IT Manager,West,Yes,0
NextLogix,Manufacturing,4153,56503,7664,34,Yes,2025-01-11,2024-07-06,3,Stable,IT Manager,Central,Yes,0
VisionCloud,Retail,720,3427236,384187,31,No,2025-03-21,2024-07-18,5,Stable,CTO,Central,Yes,0
SmartFlow,Retail,4492,86266,5231,44,Yes,2025-03-19,2024-05-18,0,Up,IT Manager,Central,No,1
SecureGlobal,Finance,1810,856656,115652,49,Yes,2024-10-07,2024-06-10,3,Up,IT Manager,East,Yes,0
SmartDynamics,Manufacturing,3876,613925,77997,36,No,2024-12-01,2024-07-09,4,Up,IT Manager,East,Yes,0
MetaMatrix,Healthcare,2214,135733,12206,25,No,2025-02-16,2024-06-02,1,Down,IT Manager,East,Yes,1
ApexWorks,Healthcare,2087,3949451,334380,51,No,2025-05-24,2024-07-17,1,Down,CTO,International,No,1
SmartNetworks,Manufacturing,2533,334268,34396,66,No,2025-07-01,2024-06-19,0,Down,Director of Ops,Central,Yes,0
BlueSystems,SaaS,4083,273253,35778,87,Yes,2024-12-13,2024-06-14,4,Down,IT Manager,West,Yes,0
EcoSolutions,Finance,4365,136516,7836,40,Yes,2025-05-11,2024-07-08,4,Stable,VP Engineering,East,Yes,1
EcoMatrix,SaaS,191,476867,44068,85,No,2024-08-03,2024-05-10,4,Down,IT Manager,Central,Yes,1
BlueSolutions,Finance,3590,3442807,438859,95,No,2025-03-24,2024-05-30,4,Stable,VP Engineering,West,Yes,0
BlueAnalytics,Manufacturing,3717,4050027,313595,40,No,2025-07-08,2024-06-14,5,Down,CIO,West,No,1
FlexEdge,Manufacturing,1748,75466,12402,24,Yes,2025-06-09,2024-07-22,5,Down,Director of Ops,East,Yes,0
QuantumSync,Manufacturing,1431,86107,10378,24,No,2025-03-11,2024-05-28,3,Up,CIO,Central,Yes,0
